,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
8531,8532,580,2,66.4012,31.2693
23936,23937,1038,2,69.8374,33.814
35348,35349,915,1,70.3323,37.3415
32813,32814,529,1,67.5876,34.8026
6411,6412,917,1,62.9482,34.085
28456,28457,1013,2,70.8616,34.2402
24147,24148,900,2,69.3317,33.67087
24564,24565,508,2,69.1275,33.4962
28901,28902,700,2,70.7599,34.604
41854,41855,745,1,69.2768,35.0906
22367,22368,1719,2,68.5191,31.87
22505,22506,581,2,69.0821,32.7453
28242,28243,653,2,70.7342,34.0782
20476,20477,511,3,65.1861,35.9467
41275,41276,563,1,70.0542,36.1951
44408,44409,549,2,69.7002,34.7823
20200,20201,2143,2,66.7858,36.7198
23931,23932,705,2,69.7852,33.8161
23126,23127,737,2,69.7785,33.3157
27947,27948,632,2,70.6803,34.4065
28628,28629,1020,2,70.2081,34.5821
25221,25222,1319,2,70.3674,34.8807
32911,32912,664,3,69.7151,37.43
36693,36694,694,1,69.1903,34.9407
37510,37511,533,1,69.8129,36.6245
24868,24869,1184,4,66.6143,37.0103
41576,41577,600,1,68.4351,35.846
21788,21789,757,2,67.9833,32.6651
2490,2491,639,1,63.4478,33.9354
23146,23147,555,2,69.7972,33.319
39693,39694,521,2,69.0998,34.77
30138,30139,1007,3,69.1221,37.1311
15279,15280,734,1,67.2847,33.9172
34588,34589,855,2,68.5781,33.9777
36046,36047,624,1,68.4239,34.9248
36519,36520,521,2,69.2269,35.0795
30326,30327,854,3,69.8255,36.9641
20890,20891,1028,1,65.8723,35.7818
33040,33041,988,1,69.4366,37.4271
40048,40049,564,2,69.5945,36.6976
33690,33691,1172,1,69.9277,37.4204
7914,7915,1759,2,65.4992,31.5411
2926,2927,2753,2,64.8897,32.1059
24631,24632,766,2,69.6765,33.9504
1704,1705,552,1,62.333,34.7751
30330,30331,512,1,69.6505,37.0712
7077,7078,652,2,63.3497,35.5243
24571,24572,1629,2,69.0961,33.5283
24594,24595,2459,2,69.8316,33.9986
38024,38025,533,1,71.2803,37.0496
16338,16339,569,2,68.1233,33.7529
29305,29306,970,2,71.0121,34.7489
5540,5541,744,2,65.0331,32.9821
2350,2351,591,2,64.2202,31.0781
37070,37071,1865,2,68.9653,34.5885
23537,23538,2449,2,70.0382,33.3685
35741,35742,882,1,70.4898,37.9943
37527,37528,505,1,69.8557,36.561
24434,24435,719,2,69.1554,33.4802
19823,19824,2301,2,68.5314,32.9664
28077,28078,896,2,70.6198,34.1619
29152,29153,805,2,70.7678,34.9473
10250,10251,1041,3,65.8259,36.574
16994,16995,564,1,64.5604,33.7327
42515,42516,707,1,68.8851,35.5505
39932,39933,1142,3,69.4261,36.7575
41983,41984,803,1,61.9826,34.9646
21126,21127,782,3,66.9483,36.4827
22257,22258,778,2,68.6979,32.1644
10672,10673,636,1,64.7224,35.6454
4059,4060,628,1,61.9216,32.0705
41669,41670,618,1,69.7304,35.262
21684,21685,755,1,66.5888,35.9198
35376,35377,1098,1,68.6404,34.471
33669,33670,1000,1,69.8985,37.4398
34310,34311,675,1,70.21855,37.5333
4646,4647,995,2,64.73100000000001,32.4624
32881,32882,685,1,67.7647,34.7679
19131,19132,871,2,68.1851,33.3421
5106,5107,602,1,62.2759,34.9997
5312,5313,1135,2,64.3308,31.6247
37525,37526,638,1,69.8959,36.6694
27850,27851,1041,1,70.3825,34.419000000000004
12747,12748,637,1,64.4502,35.2089
21450,21451,689,1,66.5162,36.5481
3324,3325,684,1,63.7227,34.6526
42772,42773,1162,2,67.9902,35.2629
20603,20604,743,1,64.4905,35.1792
24525,24526,1101,2,68.9302,33.4322
24597,24598,623,2,69.7601,33.9155
7241,7242,754,2,63.6988,35.7887
40778,40779,688,1,69.5988,35.0132
7731,7732,505,2,65.33769000000001,31.52562
24777,24778,886,1,69.1629,34.2889
28725,28726,4200,2,70.1922,34.6495
41463,41464,1020,1,69.3769,36.0461
7406,7407,643,2,65.64,31.6752
19264,19265,588,2,67.7365,32.7901
40535,40536,1212,3,65.3738,36.0638
30245,30246,923,3,69.3853,36.9954
1358,1359,514,2,68.3714,33.4624
42218,42219,739,1,69.1245,36.4734
21666,21667,1176,1,66.503,35.9149
39319,39320,901,2,69.2875,34.4781
