OBJECTID,POPULATION,LANG_CODE,LAT_Y,LON_X,DIST_CODE,PROV_CODE,AFG_UID
9989,412,2,32.1488,66.8861,2401,24,ZBL-QLT-034
9990,362,2,32.1303,66.9401,2401,24,ZBL-QLT-070
9991,75,2,32.1363,66.8329,2401,24,ZBL-QLT-095
9992,635,2,32.17,66.8669,2401,24,ZBL-QLT-035
9993,380,2,32.1418,66.9653,2401,24,ZBL-QLT-039
9994,135,2,32.0723,66.8508,2401,24,ZBL-QLT-081
9995,104,2,32.1173,66.8611,2401,24,ZBL-QLT-063
9996,526,2,32.077,66.8849,2401,24,ZBL-QLT-031
9997,174,2,32.0489,66.8602,2401,24,ZBL-QLT-036
9998,207,2,32.1233,66.9519,2401,24,ZBL-QLT-065
9999,97,2,32.0448,66.8294,2401,24,ZBL-QLT-072
10000,179,2,32.0826,66.8399,2401,24,ZBL-QLT-040
10001,77,2,32.0273,66.8695,2401,24,ZBL-QLT-093
10002,164,2,32.1536,66.9303,2401,24,ZBL-QLT-064
10003,163,2,32.1242,66.9755,2401,24,ZBL-QLT-090
10004,42,2,32.1266,66.8706,2401,24,ZBL-QLT-017
10005,206,2,32.0725,66.887,2401,24,ZBL-QLT-078
10006,104,2,32.1255,66.8435,2401,24,ZBL-QLT-022
10007,98,2,32.114,66.9662,2401,24,ZBL-QLT-015
10008,276,2,32.1753,66.8801,2401,24,ZBL-QLT-080
10009,400,2,32.1379,66.8244,2401,24,ZBL-QLT-033
10010,328,2,32.0727,66.8657,2401,24,ZBL-QLT-052
10011,200,2,32.0712,66.9187,2401,24,ZBL-QLT-082
10012,53,2,32.0947,66.8621,2401,24,ZBL-QLT-018
10013,72,2,32.0631,66.8342,2401,24,ZBL-QLT-023
10014,176,2,32.1083,66.8377,2401,24,ZBL-QLT-013
10015,1558,2,32.0683,66.8709,2401,24,ZBL-QLT-046
10016,225,2,32.134,66.9494,2401,24,ZBL-QLT-026
10017,324,2,32.1219,66.9357,2401,24,ZBL-QLT-027
10018,54,2,32.1451,66.9225,2401,24,ZBL-QLT-060
10019,211,2,31.9993,66.8438,2401,24,ZBL-QLT-009
10020,75,2,31.9937,66.8243,2401,24,ZBL-QLT-038
10021,80,2,32.0109,66.7975,2401,24,ZBL-QLT-044
10022,239,2,31.9578,66.7233,2404,24,ZBL-TWJ-010
10023,76,2,32.026,66.7622,2404,24,ZBL-TWJ-021
10024,124,2,32.0562,66.7274,2404,24,ZBL-TWJ-074
10025,378,2,31.9727,66.6834,2404,24,ZBL-TWJ-020
10026,89,2,31.9475,66.681,2404,24,ZBL-TWJ-051
10027,137,2,31.9118,66.7582,2404,24,ZBL-TWJ-132
10028,135,2,31.8897,66.7471,2404,24,ZBL-TWJ-110
10029,304,2,31.9924,66.723,2404,24,ZBL-TWJ-025
10030,39,2,31.9029,66.732,2404,24,ZBL-TWJ-083
10031,474,2,31.9555,66.7402,2404,24,ZBL-TWJ-107
10032,28,2,31.9554,66.6981,2404,24,ZBL-TWJ-088
10033,158,2,31.9696,66.744,2404,24,ZBL-TWJ-131
10034,203,2,32.0722,66.7327,2404,24,ZBL-TWJ-134
10035,40,2,31.9983,66.736,2404,24,ZBL-TWJ-012
10036,48,2,31.956,66.6829,2404,24,ZBL-TWJ-064
10037,35,2,31.9282,66.7009,2404,24,ZBL-TWJ-125
10038,288,2,31.9216,66.7531,2404,24,ZBL-TWJ-069
10039,62,2,31.9109,66.7364,2404,24,ZBL-TWJ-096
10040,124,2,31.992,66.698,2404,24,ZBL-TWJ-071
10041,38,2,31.9631,66.6828,2404,24,ZBL-TWJ-059
10042,32,2,31.9182,66.7128,2404,24,ZBL-TWJ-085
10043,365,2,31.9995,66.7064,2404,24,ZBL-TWJ-070
10044,71,2,32.0261,66.7361,2404,24,ZBL-TWJ-055
10045,359,2,32.0604,66.7299,2404,24,ZBL-TWJ-118
10046,260,2,32.0798,66.7593,2404,24,ZBL-TWJ-119
10047,41,2,31.9332,66.6951,2404,24,ZBL-TWJ-048
10048,404,2,32.0629,66.7397,2404,24,ZBL-TWJ-018
10049,95,2,32.0287,66.71,2404,24,ZBL-TWJ-030
10050,247,2,32.037,66.7134,2404,24,ZBL-TWJ-029
10051,273,2,31.9678,66.7196,2404,24,ZBL-TWJ-017
10052,473,2,32.0517,66.7415,2404,24,ZBL-TWJ-022
10053,9,2,31.9107,66.747,2404,24,ZBL-TWJ-116
10054,546,2,32.0814,66.7376,2404,24,ZBL-TWJ-027
10055,43,2,31.9948,66.6993,2404,24,ZBL-TWJ-008
10056,42,2,32.035,66.7659,2404,24,ZBL-TWJ-135
10082,141,2,32.30366,66.62164,2403,24,ZBL-MZN-100
10086,167,2,32.20155,66.47343,2403,24,ZBL-MZN-105
13878,53,2,31.93271,66.62069,2404,24,ZBL-TWJ-165
13879,148,2,32.324,66.5126,2403,24,ZBL-MZN-015
13880,220,2,32.3385,66.586,2403,24,ZBL-MZN-017
13881,113,2,32.328,66.5288,2403,24,ZBL-MZN-025
13882,165,2,32.3539,66.5546,2403,24,ZBL-MZN-034
13883,150,2,32.2595,66.7158,2401,24,ZBL-QLT-097
13884,103,2,32.1913,66.6489,2403,24,ZBL-MZN-001
13885,15,2,32.1737,66.6013,2403,24,ZBL-MZN-002
13886,104,2,32.2653,66.5752,2403,24,ZBL-MZN-003
13887,123,2,32.3191,66.6068,2403,24,ZBL-MZN-004
13888,140,2,32.2989,66.5102,2403,24,ZBL-MZN-005
13889,902,2,32.1338,66.502,2403,24,ZBL-MZN-006
13890,201,2,32.261,66.4355,2403,24,ZBL-MZN-008
13891,205,2,32.2242,66.4953,2403,24,ZBL-MZN-009
13892,173,2,32.1841,66.4256,2403,24,ZBL-MZN-010
13893,763,2,32.1733,66.5109,2403,24,ZBL-MZN-012
13894,102,2,32.3245,66.5859,2403,24,ZBL-MZN-013
13895,54,2,32.1797,66.4619,2403,24,ZBL-MZN-014
13896,155,2,32.2923,66.4517,2403,24,ZBL-MZN-016
13897,51,2,32.2705,66.6043,2403,24,ZBL-MZN-018
13898,363,2,32.1792,66.4254,2403,24,ZBL-MZN-020
13899,450,2,32.1765,66.4819,2403,24,ZBL-MZN-021
13900,88,2,32.2156,66.4127,2403,24,ZBL-MZN-022
13901,253,2,32.3128,66.599,2403,24,ZBL-MZN-023
13902,409,2,32.2465,66.5353,2403,24,ZBL-MZN-026
13903,148,2,32.2545,66.5051,2403,24,ZBL-MZN-027
13904,120,2,32.1944,66.4162,2403,24,ZBL-MZN-028
13905,100,2,32.3109,66.5549,2403,24,ZBL-MZN-029
13906,37,2,32.1778,66.6505,2403,24,ZBL-MZN-030
13907,55,2,32.1896,66.5563,2403,24,ZBL-MZN-031
13908,123,2,32.1456,66.4639,2403,24,ZBL-MZN-032
13909,126,2,32.2459,66.5464,2403,24,ZBL-MZN-033
13910,90,2,32.2847,66.4578,2403,24,ZBL-MZN-035
13911,118,2,32.2872,66.5977,2403,24,ZBL-MZN-036
13912,99,2,32.1897,66.4255,2403,24,ZBL-MZN-037
13913,85,2,32.2222,66.4041,2403,24,ZBL-MZN-038
13914,61,2,32.1964,66.6112,2403,24,ZBL-MZN-039
13915,67,2,32.299,66.4964,2403,24,ZBL-MZN-040
13916,246,2,32.3186,66.5503,2403,24,ZBL-MZN-041
13917,195,2,32.2047,66.5214,2403,24,ZBL-MZN-042
13918,310,2,32.2734,66.5883,2403,24,ZBL-MZN-044
13919,90,2,32.3077,66.5108,2403,24,ZBL-MZN-046
13920,72,2,32.2668,66.5533,2403,24,ZBL-MZN-047
13921,174,2,32.2,66.6101,2403,24,ZBL-MZN-048
13922,498,2,32.1784,66.5622,2403,24,ZBL-MZN-049
13923,85,2,32.2573,66.5585,2403,24,ZBL-MZN-050
13924,99,2,32.1836,66.5091,2403,24,ZBL-MZN-051
13925,1005,2,32.1555,66.4874,2403,24,ZBL-MZN-052
13926,411,2,32.1145,66.379,2403,24,ZBL-MZN-053
13927,380,2,32.174,66.4897,2403,24,ZBL-MZN-054
13928,220,2,32.1978,66.5442,2403,24,ZBL-MZN-055
13929,383,2,32.1845,66.4803,2403,24,ZBL-MZN-056
13930,35,2,32.1995,66.4285,2403,24,ZBL-MZN-057
13931,90,2,32.1796,66.4199,2403,24,ZBL-MZN-058
13932,77,2,32.284,66.4671,2403,24,ZBL-MZN-059
13933,166,2,32.1858,66.6307,2403,24,ZBL-MZN-061
13934,91,2,32.2091,66.4116,2403,24,ZBL-MZN-062
13935,339,2,32.0891,66.3957,2403,24,ZBL-MZN-063
13936,624,2,32.1566,66.3492,2403,24,ZBL-MZN-064
13937,178,2,32.1391,66.5067,2403,24,ZBL-MZN-065
13938,441,2,32.196,66.4815,2403,24,ZBL-MZN-066
13939,255,2,32.1849,66.6602,2403,24,ZBL-MZN-067
13940,84,2,32.1996,66.4221,2403,24,ZBL-MZN-068
13941,293,2,32.2057,66.6582,2403,24,ZBL-MZN-069
13942,614,2,32.1496,66.4553,2403,24,ZBL-MZN-070
13943,427,2,32.1816,66.46,2403,24,ZBL-MZN-071
13944,194,2,32.2348,66.5024,2403,24,ZBL-MZN-072
13945,314,2,32.1624,66.3435,2403,24,ZBL-MZN-073
13946,987,2,32.1424,66.5242,2403,24,ZBL-MZN-074
13947,576,2,32.095,66.3839,2403,24,ZBL-MZN-075
13948,142,2,32.2039,66.4134,2403,24,ZBL-MZN-076
13949,97,2,32.2733,66.5931,2403,24,ZBL-MZN-077
13950,25,2,32.1726,66.6053,2403,24,ZBL-MZN-078
13951,85,2,32.1802,66.6073,2403,24,ZBL-MZN-079
13952,40,2,32.2289,66.4883,2403,24,ZBL-MZN-080
13953,28,2,32.2464,66.4355,2403,24,ZBL-MZN-081
13954,220,2,32.2786,66.4552,2403,24,ZBL-MZN-083
13955,106,2,32.2648,66.4135,2403,24,ZBL-MZN-084
13956,207,2,32.1515,66.6438,2403,24,ZBL-MZN-085
13957,37,2,32.1804,66.6304,2403,24,ZBL-MZN-086
13958,66,2,32.2772,66.5105,2403,24,ZBL-MZN-087
13959,66,2,32.2333,66.4308,2403,24,ZBL-MZN-089
13960,293,2,32.1956,66.4709,2403,24,ZBL-MZN-090
13961,130,2,32.2547,66.4335,2403,24,ZBL-MZN-091
13962,95,2,32.1521,66.6479,2403,24,ZBL-MZN-093
13963,229,2,32.1946,66.6694,2403,24,ZBL-MZN-094
13964,1192,2,32.174,66.5131,2403,24,ZBL-MZN-095
13965,40,2,31.9728,66.586,2404,24,ZBL-TWJ-065
13966,43,2,31.9092,66.5898,2404,24,ZBL-TWJ-054
13967,26,2,31.9589,66.582,2404,24,ZBL-TWJ-077
