,OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
28827,28828,Yale POP_MASTER,MTM-070,,0,LGM-MTM-070,692,Pashto,2,898.0261841,34.7696,70.2911,LGM,MTM,Chanchar,701,Mehtarlam,???? ???,Laghman,?????,7
28828,28829,Yale POP_MASTER,MTM-157,,0,LGM-MTM-157,499,Pashto,2,830.1575928,34.7469,70.2856,LGM,MTM,Qala Jamo,701,Mehtarlam,???? ???,Laghman,?????,7
28829,28830,Yale POP_MASTER,MTM-187,,0,LGM-MTM-187,401,Pashto,2,826.277771,34.7658,70.3056,LGM,MTM,Shaikh Atar,701,Mehtarlam,???? ???,Laghman,?????,7
28830,28831,Yale POP_MASTER,ALR-065,,0,LGM-ALR-065,441,Pashai,6,1191.614014,34.7063,70.3559,LGM,ALR,Mazri,704,Alingar,???????,Laghman,?????,7
28831,28832,Yale POP_MASTER,ALR-069,,0,LGM-ALR-069,71,Pashai,6,1220.374023,34.705,70.3703,LGM,ALR,Naistak,704,Alingar,???????,Laghman,?????,7
28832,28833,Yale POP_MASTER,ALR-099,,0,LGM-ALR-099,1097,Pashto,2,838.2498779,34.738,70.2973,LGM,ALR,Shengari,704,Alingar,???????,Laghman,?????,7
30564,30565,CSO AIMS Villages (ACSOR),ALR-001,,0,LGM-ALR-001,81,Pashai,6,1036.624023,34.91693,70.37613,LGM,ALR,Baba Qala,704,Alingar,???????,Laghman,?????,7
30565,30566,CSO AIMS Villages (ACSOR),ALR-006,,0,LGM-ALR-006,213,Pashai,6,978.3549194,34.90758,70.37913,LGM,ALR,Daryeng,704,Alingar,???????,Laghman,?????,7
30566,30567,CSO AIMS Villages (ACSOR),ALR-008,,0,LGM-ALR-008,981,Pashai,6,996.7797241,34.91736,70.38286,LGM,ALR,Kotali,704,Alingar,???????,Laghman,?????,7
30567,30568,CSO AIMS Villages (ACSOR),ALR-011,,0,LGM-ALR-011,919,Pashai,6,1004.697021,34.9114,70.37486,LGM,ALR,Lokar,704,Alingar,???????,Laghman,?????,7
30568,30569,CSO AIMS Villages (ACSOR),ALR-015,,0,LGM-ALR-015,752,Pashai,6,1031.964966,34.92325,70.39151,LGM,ALR,Tapak Walech,704,Alingar,???????,Laghman,?????,7
30594,30595,Yale POP_MASTER,NGM-052,,0,NRS-NGM-052,752,Pashai,6,1031.964966,34.9232,70.3915,NRS,NGM,Tapak Walech,704,Alingar,???????,Laghman,?????,7
30597,30598,Yale POP_MASTER,ALR-057,,0,LGM-ALR-057,1508,Pashai,6,1848.802979,34.8917,70.5497,LGM,ALR,Kunda Gal,704,Alingar,???????,Laghman,?????,7
